sentence,relation,head,head_offset,tail,tail_offset
在张飞家中，刘关张三人畅饮叙谈，他们志同道合，便在桃林中结拜为兄弟,兄弟,刘备,64,关羽,66
在张飞家中，刘关张三人畅饮叙谈，他们志同道合，便在桃林中结拜为兄弟,兄弟,刘备,64,张飞,67
在张飞家中，刘关张三人畅饮叙谈，他们志同道合，便在桃林中结拜为兄弟,兄弟,关羽,66,张飞,67
为了除掉丁原，董卓的谋士李肃带着赤兔马和重金来到吕布营内，劝说吕布投靠董卓,君主,吕布,113,董卓,124
有勇无谋、见利忘义的吕布当夜杀了义父丁原，做了董卓的义子,君主,吕布,0,董卓,44
董卓得到吕布，如虎添翼，更加横行无忌,君主,吕布,10,董卓,6
曹操行刺董卓未成，逃回陈留，尽散家财，召募乡勇,对手,曹操,0,董卓,7
他联络袁绍，并向各州郡遍发讨董檄文，得到天下响应,盟友,曹操,12,袁绍,17
十八路诸侯为匡扶汉室，歃血为盟，公推祁乡侯、渤海太守袁绍为盟主，共同起兵讨伐董卓,盟友,袁绍,64,曹操,74
袁绍命其弟南阳太守袁术总督粮草,兄弟,袁绍,0,袁术,22
袁术怕孙坚夺了头功，便故意不发粮草，致使孙坚大败,对手,袁术,0,孙坚,15
关羽自告奋勇出战，因地位低下，遭到袁绍、袁术轻视,对手,关羽,0,袁绍,29
曹操赞赏关羽的勇气，命斟热酒一杯为关羽壮胆,盟友,曹操,0,关羽,12
张飞按捺不住，挺矛出战，与吕布酣战五十回合，不分胜负,对手,张飞,0,吕布,25
关羽见了，把马一拍，舞八十二斤青龙偃月刀，来夹攻吕布,对手,关羽,0,吕布,47
刘备举着双股剑，也来助战，兄弟三个围住吕布，四匹马就像走马灯一样厮杀在一起,对手,刘备,0,吕布,35
吕布终于抵挡不住，败回虎牢关,对手,刘备,0,吕布,0
司徒王允想除掉董卓，但苦无良策,对手,王允,3,董卓,15
先将貂蝉许嫁吕布，再献与董卓，离间他们父子，促使吕布杀死董卓,对手,吕布,54,董卓,58
吕布与貂蝉在凤仪亭相会时，貂蝉用言语激吕布对董卓不满,对手,吕布,0,董卓,39
董卓不见吕布，急回府，在凤仪亭，看到吕布正拥抱貂蝉，大怒，抓过吕布画戟刺去，吕布逃出相府,对手,董卓,0,吕布,16
王允趁势以言语相激，吕布决意杀董卓,对手,吕布,30,董卓,33
吕布持戟厉声：“有诏讨贼。”刺死董卓,对手,吕布,0,董卓,27
陶谦为保徐州，见刘备乃汉室宗亲，才德兼备，欲将徐州让与刘备,君主,刘备,46,陶谦,0
吕布在兖州被曹操打败，往徐州投奔刘备，屯驻小沛,君主,吕布,0,刘备,35
刘备无奈，只好向吕布求和，暂屯小沛,君主,刘备,0,吕布,26
袁术派大将纪灵率军攻打刘备，命人送二十万斛粟，约吕布夹攻,对手,袁术,0,刘备,19
刘备因兵微粮少，向吕布求援，吕布权衡利弊，怕袁术吞并刘备后，于己不利，乃起兵救刘备,盟友,刘备,0,吕布,26
吕布为两家和解，想出一计，约请刘备、纪灵赴宴,盟友,吕布,0,刘备,42
刘备很赞成，纪灵畏吕布之勇，只好答应,盟友,刘备,0,吕布,30
刘备求和，吕布不许，刘备只好乘夜突围，去投曹操,君主,刘备,0,曹操,44
正当曹操联合刘备准备共图徐州吕布之时，对手,曹操,9,吕布,37
刘备在徐州大败袁术,对手,刘备,0,袁术,16
袁术在淮南称帝，为报吕布反目悔婚之恨，大举七路兵马攻打徐州,对手,袁术,0,吕布,32
吕布用陈登之计，大败袁术,对手,吕布,0,袁术,22
其后曹操又率大军十七万，会合江东孙策、豫州刘备、徐州吕布三路大军征讨袁术,对手,曹操,12,袁术,71
刘备派孙乾去袁绍处再次求救,盟友,刘备,0,袁绍,21
谋士田丰认为此时许都空虚，正是灭曹以成大业的大好时机，力劝袁绍发兵，袁绍却只因所爱小子身患疥疮，无心用兵,君主,田丰,3,袁绍,40
此时曹操已大兵压境，张飞献计乘其兵困马乏，立足未稳之时，劫营破曹，刘备从之，哪知曹操早有防备，乘势夺了小沛，杀散刘备和张飞，并用重兵将下邳团团围住,对手,刘备,87,曹操,97
关羽在土山与曹操约三事后，一边思念刘备，一边亲自护送甘、糜二夫人，随曹操踏上回许都之路,君主,关羽,0,曹操,55
到了许昌，曹操对关羽格外厚待，三日一小宴，五日一大宴，还送美女、绫锦、金银器皿等，以买其心；而关羽却常怀去心，曹操深为焦虑,君主,关羽,117,曹操,13
关羽深感曹操厚意，但无论如何也难忘刘皇叔厚恩，只答应要立功以报丞相，然后方去,君主,关羽,0,曹操,6
曹操连连叹息不止，却深赞其事主不忘其本，真乃天下之义士！,君主,关羽,38,曹操,0
此时，刘备在冀州袁绍府言激袁绍兴兵伐曹，袁绍从其言,君主,刘备,12,袁绍,27
谋士田丰却认为此时曹兵正锐，不宜发兵，直言力谏袁绍，反被打入死牢,君主,田丰,3,袁绍,41
谋士沮授等见此，神情黯然,同僚,田丰,3,沮授,16
曹操闻袁绍起兵，也急起大军十五万前往迎战，袁军先锋大将颜良威武异常，在白马连斩宋宪、魏续二将，又败徐晃，其锐无人能挡，曹操心中忧闷，脸色不快,对手,曹操,0,袁绍,19
关羽不知刘备在袁绍处，为报曹操厚待之恩，连斩颜良、文丑二将,君主,关羽,0,曹操,40
袁绍盛怒，欲斩刘备，又被其巧言说服,君主,刘备,26,袁绍,0
不知内情的刘备致书责关羽割恩断义，云长方知兄之所在，恸声大哭，回书涕言前情，不顾曹操的盛情挽留和百般阻拦，挂印封金，要护送二位嫂嫂千里寻兄,兄弟,刘备,16,关羽,24
曹操无奈，又甚为其情所感，只好亲自于霸桥赠袍相送，遥望关羽策马消失在天地尽头，叹息不已,君主,关羽,46,曹操,0
船行渡口，孙乾赶来，告知刘备因恐被袁绍加害，已脱身往汝南会合刘辟去了,君主,刘备,30,袁绍,36
刘备从简雍之议，假说“前往荆州劝说刘表共同破曹”，方自袁绍处脱身，兄弟始得相见,君主,刘备,0,袁绍,79
刘、关、张三人奔到一起，面色庄重，眼含泪花，六臂环抱，对面而跪，恰似当年桃园情景,兄弟,刘备,0,关羽,4
刘、关、张三人奔到一起，面色庄重，眼含泪花，六臂环抱，对面而跪，恰似当年桃园情景,兄弟,刘备,0,张飞,7
刘、关、张三人奔到一起，面色庄重，眼含泪花，六臂环抱，对面而跪，恰似当年桃园情景,兄弟,关羽,4,张飞,7
孙策对吴太夫人说：“倘内事不决可问张昭，外事不决可问周瑜。”,同僚,张昭,61,周瑜,74
他让大乔好生照顾母亲，并让大乔嘱咐小乔妹转告周郎，一定要尽心辅佐孙权,配偶,周瑜,86,小乔,75
孙权为与曹操谋和修好，拒绝了袁绍提出的结盟抗曹请求,对手,孙权,9,曹操,18
建安五年（公元200年）八月，袁绍起冀、青、幽、并四州兵马七十万攻伐曹操,对手,袁绍,35,曹操,62
被关押在狱里的谋士田丰，急向袁绍上书，劝他“只宜静守，不可妄兴大兵”,君主,田丰,12,袁绍,22
袁绍不纳忠言，要与曹操决一死战,对手,袁绍,0,曹操,24
曹操亲统大军七万迎敌,对手,曹操,0,袁绍,0
袁绍的谋士沮授劝告袁绍：“我军虽众，而勇猛不及彼军；彼军虽精，而粮草不如我军,君主,沮授,3,袁绍,13
袁绍不但不听，反将沮授锁禁军中,君主,沮授,31,袁绍,7
许攸告知曹操，袁绍七十万大军之粮草、辎重尽屯于乌巢,对手,曹操,11,袁绍,18
袁绍派大将张郃、高览进攻曹军大营，因曹操早有埋伏，二人战败,君主,张郃,12,袁绍,0
袁绍听信谗言，怀疑二将有降曹之心，因而作战不力,君主,张郃,0,袁绍,0
张郃、高览被逼无奈，投奔曹营,君主,张郃,0,曹操,30
曹操见时机成熟，分兵八路直冲袁寨，大获全胜，获得许多粮食、辎重，又从袁绍帐中搜出许多曹营中人私通袁绍的书信,对手,曹操,0,袁绍,58
袁军土崩瓦解，袁绍只带八百骑渡河逃走,对手,曹操,0,袁绍,25
田丰在狱中被袁绍赐死,君主,田丰,0,袁绍,15
曹操在官渡之战中以少胜多，打败袁绍，陈兵黄河两岸,对手,曹操,15,袁绍,27
袁绍回到冀州，长子袁谭、次子袁熙、幼子袁尚和外甥高干分别从青、幽、并州领兵前往助战,父亲,袁绍,10,袁谭,21
袁绍回到冀州，长子袁谭、次子袁熙、幼子袁尚和外甥高干分别从青、幽、并州领兵前往助战,父亲,袁绍,10,袁熙,30
袁绍回到冀州，长子袁谭、次子袁熙、幼子袁尚和外甥高干分别从青、幽、并州领兵前往助战,父亲,袁绍,10,袁尚,39
袁绍再集二十多万大军，兵发仓亭，要报官渡之仇,对手,袁绍,0,曹操,37
曹操用程昱“十面埋伏”之计，派许褚诱袁军追至河上,对手,曹操,0,袁绍,34
袁绍抱三子痛哭，昏厥吐血，只好回冀州养病,父亲,袁绍,0,袁谭,15
曹操庆仓亭大胜，重赏三军，忽接荀彧来信：“刘备在汝南起兵，乘虚来攻许都。”,对手,曹操,0,刘备,64
刘备因寡不敌众大败，投奔荆州刘表,君主,刘备,26,刘表,36
曹操按程昱建议“先破袁绍，后取荆襄”领兵赴官渡，攻打袁绍,对手,曹操,31,袁绍,59
袁绍再吃败仗，旧病复发，吐血身亡,对手,曹操,0,袁绍,15
临终前，他废长立幼，封第三子袁尚为大司马将军，这引起袁谭、袁熙不满,父亲,袁绍,13,袁尚,38
郭嘉进谏曹操不必急攻，待兄弟反目，再讨伐袁军不迟,君主,郭嘉,0,曹操,9
果然袁谭和袁尚互相残杀起来,兄弟,袁谭,6,袁尚,13
曹操乘势用许攸之计，决了漳河之水，攻下冀州城,对手,曹操,0,袁尚,0
袁绍手下谋士审配宁死不屈，被曹操斩杀，死后葬于城北,君主,审配,3,袁绍,9
城破后，曹操祭拜袁绍,对手,曹操,12,袁绍,19
许攸高傲无礼，被许褚杀死,同僚,许攸,0,许褚,18
袁尚去幽州投袁熙,兄弟,袁尚,0,袁熙,15
袁谭投降曹操，遭到拒绝，被曹洪杀死于阵中，谋士郭图亦被乐进射杀,对手,袁谭,0,曹操,16
不久公孙康因怀疑二袁想占辽东，杀死二袁，将首级送与曹操，并愿归顺朝廷,对手,公孙康,18,袁尚,50
不久公孙康因怀疑二袁想占辽东，杀死二袁，将首级送与曹操，并愿归顺朝廷,对手,公孙康,18,袁熙,50
刘表之妻蔡夫人担心刘备要夺荆州,对手,蔡夫人,12,刘备,23
一日，刘表约刘备来荆州倾诉心事，他想废长立幼，又恐碍于礼法；要立长子，而荆州军务大权均在蔡氏宗族手中，后必生乱，因而左右为难,同僚,刘表,10,刘备,20
刘备未加思索，言道：“自古废长立幼，取乱之道，若忧蔡氏权重，可徐徐削之。”,同僚,刘备,0,刘表,0
不料被躲在屏风后的蔡夫人听见,配偶,刘表,25,蔡夫人,34
她忌恨刘备，命其弟蔡瑁深夜包围馆驿，要杀害刘备,对手,蔡夫人,0,刘备,12
刘表幕宾伊籍将蔡瑁之谋报知刘备，刘备悄悄离开馆驿回到新野,同僚,伊籍,3,刘备,24
蔡瑁又和蔡夫人密谋，要在襄阳大会上杀死刘备,对手,蔡瑁,0,刘备,44
诸葛瑾至孝，接信后，不知其诈，被迫辞别刘备,同僚,诸葛瑾,0,刘备,41
徐庶感其诚意，拨马而回，向刘备举荐诸葛亮，称亮有“经天纬地之才”,师傅,刘备,45,诸葛亮,54
刘备随即带着关羽、张飞前往卧龙岗拜请诸葛亮,君主,刘备,0,诸葛亮,35
初顾茅庐，不巧，诸葛亮外出未归,君主,刘备,0,诸葛亮,20
刘备在归途中遇亮之好友崔州平，误以为是诸葛亮，连忙拜谒,君主,刘备,0,诸葛亮,32
数日后，刘备探知诸葛亮已回隆中，即与关、张准备再顾茅庐,君主,刘备,0,诸葛亮,18
到茅庐后，又将诸葛亮之弟诸葛均错认,兄弟,诸葛亮,15,诸葛均,24
均告知刘备，其兄于前日出游，刘备只好留书信表达仰慕之意,兄弟,诸葛均,0,诸葛亮,17
正要离去，又遇诸葛亮之岳父黄承彦，刘备再向其表达来意，辞别而归,师傅,诸葛亮,15,黄承彦,24
刘备三顾茅庐，适逢诸葛亮在草堂午睡未醒，备吩咐关、张在门外等候，自己徐步而入，拱手平气立于阶下恭候，直到诸葛亮醒后，方入内相见,君主,刘备,0,诸葛亮,20
备虚心恭敬拜见孔明，并求教天下大事,君主,刘备,0,诸葛亮,22
孔明见刘备至诚，乃说出创业大计,君主,诸葛亮,0,刘备,16
诸葛亮又取出西川地图，告刘备：“欲成霸业，北让曹操占天时，南让孙权占地利，将军可占人和”；“先取荆州为家，后取西川建基业，以成鼎足之势,君主,诸葛亮,0,刘备,30
刘备深受教益，顿开茅塞，便拜请孔明出山相助,君主,刘备,0,诸葛亮,40
孔明感其真诚，答应出山，随刘备同赴新野,君主,诸葛亮,0,刘备,23
孙权为报父仇，杀死黄祖，出兵柴桑,对手,孙权,12,黄祖,21
刘表闻报，病势加重，请刘备来荆州商议报仇之策,同僚,刘表,0,刘备,35
诸葛亮调兵遣将，命赵云为前部，诱敌入博望坡,君主,诸葛亮,0,赵云,19
关羽、张飞和众将初次见孔明用计，均疑惑不定,同僚,关羽,0,诸葛亮,25
至此，关、张等才心服孔明,同僚,关羽,6,诸葛亮,27
孙权为报父仇，杀死黄祖，出兵柴桑,对手,孙权,12,黄祖,21
刘表闻报，病势加重，欲将荆州托付给刘备，刘备连忙推辞,同僚,刘表,0,刘备,35
刘表妻蔡氏为让刘琮继位，时时欲加害刘琦,父亲,刘表,0,刘琦,35
刘表妻蔡氏为让刘琮继位，时时欲加害刘琦,父亲,刘表,0,刘琮,24
琦便向刘备求救,君主,刘琦,0,刘备,11
刘备示意其向诸葛亮问计，亮以家事不便介入为由避而不答,君主,刘备,0,诸葛亮,28
刘琦宴请诸葛亮，再次问计，亮仍不答,君主,刘琦,0,诸葛亮,15
刘琦请诸葛亮登一小楼，并撤去楼梯，第三次问计，如再不相救则拔剑自刎,君主,刘琦,0,诸葛亮,15
亮无奈说出春秋时申生在内而亡，重耳在外而安的故事，刘琦于是带兵三千，到江夏屯兵避祸,君主,诸葛亮,0,刘琦,66
刘表病危，诸葛亮建议刘备乘机取荆州，以拒曹操,君主,诸葛亮,0,刘备,24
刘备念刘表之恩，不忍图之,同僚,刘备,0,刘表,15
不久，刘表病故，蔡氏密不发丧，假写遗嘱，立次子刘琮为荆州之主，蔡瑁独掌荆州大权,父亲,刘表,0,刘琮,58
建安十三年（公元208年）秋，曹操亲率五十万大军，分五路南侵，欲夺荆州，刘琮不战而降，将荆州九郡献与曹操,君主,刘琮,75,曹操,97
建安十三年（公元208年），在曹操大军的威逼之下，荆州刘表之子刘琮献城降曹,父亲,刘表,46,刘琮,51
刘备弃樊城携民渡江，败走汉津，投江夏刘琦处暂避,君主,刘备,0,刘琦,45
消息传来，东吴朝野一片震惊，武将要战，文官主降，争论不休,君主,孙权,39,曹操,0
孙权不甘降曹，又恐力量不敌，举棋不定,对手,孙权,6,曹操,11
鲁子敬力排众议，愿亲到江夏，搬请诸葛亮共议破曹大计,同僚,鲁肃,0,诸葛亮,48
孙权因刘备两次打败曹操，急于摸清曹军兵力，同意鲁肃去江夏探听虚实,对手,孙权,12,曹操,30
诸葛亮于是决定只身入吴，要凭三寸不烂之舌，去说孙、曹两家互相吞并,对手,诸葛亮,0,曹操,86
诸葛亮在鲁肃邀请下出使东吴，东吴众臣蔑视孔明，在谒见孙权之前，先安排他在集贤堂与众官相会，想杀杀他的威风,君主,诸葛亮,11,孙权,57
东吴重臣张昭、顾雍等知诸葛亮来意，纷纷向诸葛亮发难，气势汹汹，不可一世,对手,张昭,3,诸葛亮,31
诸葛亮面对群儒，从容不迫，对答如流，以降曹必亡，曹军可以打败之理，说服众臣，驳得张昭“瞠目结舌，无言答对”；虞翻“面红耳赤，低头不语”；步骘、薛琮“语塞口呆”,对手,诸葛亮,0,张昭,77
老将黄盖力主抗曹，他请孔明以孙、刘联兵破曹之策，说动孙权,盟友,黄盖,0,诸葛亮,30
诸葛亮为使孙权打消顾虑，增强抗曹信心，先以言词激之，后以权衡利害得失动之，使孙权接受破曹之计,君主,诸葛亮,0,孙权,12
孙权因事关东吴存亡，忧虑不安，吴国太提醒他“外事不决问周瑜”，他急速派人去鄱阳湖将水军都督周瑜召回议事,母亲,孙权,39,吴国太,42
周瑜归，鲁肃引诸葛亮与周相会,同僚,周瑜,0,诸葛亮,24
鲁肃问周瑜主和还是主战，瑜本意主战，却故意说主和，鲁肃信以为真与其争论,同僚,鲁肃,0,周瑜,11
诸葛亮早已看出周瑜心思，要智激周瑜，在一旁冷笑不语,对手,诸葛亮,0,周瑜,27
瑜问之，亮也故意说主和，提出只要将江东二乔送与曹操，操必退兵，并曲引曹植《铜雀台赋》中“揽二乔于东南兮，乐朝夕之与共”二句，证明曹操确想得到二乔,对手,诸葛亮,24,周瑜,4
瑜听罢，大骂曹操欺人太甚,对手,周瑜,0,曹操,20
亮假作不解，瑜说明“大乔乃孙策之妻，小乔则是瑜妻,配偶,周瑜,46,小乔,50
望孔明助一臂之力，共破曹操,盟友,周瑜,13,诸葛亮,18
诸葛亮和周瑜的一番话被周瑜爱妻小乔听到，她对周瑜说：“即使曹贼不是专为我姐妹而发兵，一旦江南沦落，妾身与儿女们必落于曹贼之手,配偶,周瑜,35,小乔,31
此语更使周瑜决心抗曹,对手,周瑜,12,曹操,0
周瑜与孙权分析曹军致命弱点,君主,周瑜,0,孙权,11
孙权决定与曹军开战，封周瑜为大都督，统帅三军，并赠予尚方宝剑,君主,孙权,0,周瑜,32
周瑜将此情告知诸葛亮，亮却估计孙权仍有顾虑,对手,周瑜,0,诸葛亮,22
当夜，周瑜再次进帐，发现孙权果如诸葛亮所说担心曹军强大，怕力不能胜,君主,周瑜,0,孙权,27
周瑜便将曹兵实际人数告诉孙权，孙权才疑云顿逝，忧虑全消,君主,周瑜,0,孙权,32
周瑜忌才，他深感诸葛亮谋略高己一筹，日后必成江东之患，不如早日除之,对手,周瑜,0,诸葛亮,24
他与鲁肃计议，鲁肃忙劝阻说：“操贼未破，先杀贤士，是自伤其臂也，且恐失信于天下,同僚,周瑜,3,鲁肃,11
诸葛瑾乃其胞兄，可劝其留在江东,兄弟,诸葛亮,0,诸葛瑾,0
周瑜请诸葛瑾说服亮未见成效，又想借曹操之手杀亮，又被亮识破,对手,周瑜,0,诸葛亮,40
周瑜便诱请刘备过江，想借机杀之，因关羽跟随左右，未敢动手,对手,周瑜,0,刘备,23
周瑜接受鲁肃建议，决定待破曹之后再除孔明,对手,周瑜,24,诸葛亮,51
瑜先派甘宁向曹操讨战，首战告捷，还亲自去窥探曹营水寨实情,对手,周瑜,11,曹操,20
曹操闻报大怒，要设计破吴，谋士蒋干自告奋勇往江东说降周瑜,对手,曹操,0,周瑜,56
周瑜知其来意，设宴款待，假意宣称蒋干乃瑜旧友，并非曹操说客，却暗中布置钓钩,对手,周瑜,0,曹操,52
蒋干见周瑜及诸将战风凛凛，不敢提起劝降之事，只得竭力应酬,对手,蒋干,0,周瑜,11
周瑜此计，被诸葛亮看穿，这使周瑜更加忌恨，决心要除掉诸葛亮，以绝后患,对手,周瑜,17,诸葛亮,26
他为难诸葛亮，限其十日监造十万枝箭，以作攻敌之用,对手,周瑜,10,诸葛亮,14
周瑜虽震惊，但心中暗喜，恐其有变，逼孔明立下军令状,对手,周瑜,0,诸葛亮,38
鲁肃深为孔明担忧，而亮却若无其事，只请鲁肃助他二十只船，每船配军士三十人，备齐鼓乐，船上用青布为幔，船中用草束分布两侧，并嘱咐肃：“这次人命关天，千万不可让公瑾得知,同僚,鲁肃,0,诸葛亮,14
周瑜无可奈何地惊叹：“孔明神机妙算，吾不如也。”只好请诸葛亮协助，共同抗曹,对手,周瑜,0,诸葛亮,38
蒋干盗书使曹操错杀水军都督蔡瑁、张允，草船借箭又令曹操平白折损十五六万枝羽箭，连续的失利使曹操极为恼火，遂采纳谋士荀攸的诈降计，派遣蔡瑁族弟蔡中、蔡和过江假降东吴作为内应,对手,曹操,0,周瑜,0
谁知此举仍在周瑜的预料之中，他借此将计就计，欲施苦肉计，以实现其火攻曹操的大计，奈何一时又找不到合适人选,对手,周瑜,25,曹操,72
正焦虑中，老将黄盖押粮归营，识破都督心事，自告奋勇，甘受肉刑,君主,黄盖,12,周瑜,31
周瑜感动不已,君主,黄盖,0,周瑜,0
鲁肃深责孔明袖手旁观，孔明告知鲁肃此为都督之计：一个愿打，一个愿挨，愿挨者疼之皮肉，愿打者痛之于心,同僚,鲁肃,0,诸葛亮,22
看破周瑜之计的还有一位——东吴参军阚泽,同僚,阚泽,49,周瑜,31
他受黄盖之托，过江献诈降书与曹操，凭三寸不烂之舌陈说利弊,君主,阚泽,11,曹操,46
正值曹操将信将疑之际，收到蔡中、蔡和的密信，证实阚泽所言是真，遂相信阚泽，让他即刻回江东配合黄盖举事,对手,曹操,0,黄盖,92
东吴三江口甘宁营帐内，阚泽又与甘宁做了一场降曹的戏，引出蔡中、蔡和说出真情，相约即日一起投曹,同僚,阚泽,7,甘宁,27
蔡中、蔡和将阚泽、甘宁相约投曹之机密书传曹操,对手,蔡中,0,曹操,44
曹操仍不全信此事是真，蒋干自荐愿往周瑜营寨探听虚实，以补上次空往东吴、寸功未立之过，曹操允之,对手,曹操,0,周瑜,44
周瑜在东吴日夜运筹火攻曹操大计，突然想到：大江之上一船着火，余船便可四散而逃，火攻威势骤减,对手,周瑜,21,曹操,35
鲁肃以此求教于名士庞统，庞统愿亲往曹营献连环计，否则火攻则无用也,同僚,鲁肃,0,庞统,27
蒋干就在此时又来到东吴，周瑜喜出望外，大叫一声：“我之成功，就在此人身上！”,对手,蒋干,0,周瑜,30
周瑜怒责蒋干盗书之罪，并借此把他送往西山庵中歇息，暗中安排他与名士庞统相见,对手,周瑜,0,蒋干,12
二人商议已定，却是各怀心事来到曹营,对手,庞统,13,曹操,40
曹操见庞统来到果然大喜，亲与庞统视察军中各寨，庞统相机处事，巧献连环计之后，又以去东吴劝众将来降为由，骗得丞相榜文，只身回东吴,君主,庞统,35,曹操,6
就在庞统逍遥自得地走下江堤，正要上船之际，突然被人一把抓住，道出庞统真意,同僚,庞统,45,徐庶,62
被识破心机的庞统回头一看，原来是进曹营一言不发的故友徐庶，方才放下心来,同僚,庞统,25,徐庶,57
徐庶向他求教脱身之计，庞统授之，二人告别,同僚,徐庶,0,庞统,21
曹操按庞统的连环计将战船锁于一处，雄伟地并排于江面上，声势甚为壮观,君主,曹操,0,庞统,16
曹操与群僚前来巡视，众僚齐声：“丞相南下，灭吴指日可待！”,对手,曹操,0,周瑜,0
曹操喜不自禁，令天下第一乐师师勖重铸钟吕，恢复古乐，于当月十五日在楼船置酒设乐，以歌舞助军威,君主,曹操,0,师勖,35
身着红袍的曹操，踌躇满志，直抒豪情，横槊赋诗，对酒作歌,对手,曹操,0,周瑜,0
诗尽歌罢，曹操酒意焕发，洋洋自得，笑问师勖，希望能得到他的赞赏，哪知师勖天性质朴，在赞誉丞相美诗之余，又直言指出诗中不祥之言,君主,曹操,0,师勖,37
由此触怒曹操，只见他大喝一声，手起一槊，刺入师勖胸口,君主,师勖,34,曹操,16
可怜一代乐师，因其真诚却不谙时务，便静静地躺在他尽心尽力为之服务的主子刀下,君主,师勖,29,曹操,57
新任水军都督毛玠、于禁请丞相阅兵,君主,毛玠,6,曹操,27
曹操看罢江面上五队连环大船排演各种阵法，兵士在连锁铁舟上，来往自如，渡江踏浪如履平地，甚为欣慰，想想伐吴指日可待，必会一举成功，面呈自得，狂傲不可一世,对手,曹操,0,周瑜,0
谋士程昱提醒丞相谨防火攻，曹操大笑，令取火具点燃,同僚,程昱,3,曹操,18
曹操说隆冬时节只有西风、北风，不会有东风、南风，所以不必忧虑，众将齐赞丞相英明,对手,曹操,0,周瑜,0
东吴水师来战，曹操先用小船去战以试军情，又用连环大船出击，得胜而归,对手,曹操,0,周瑜,11
由此更增添了曹操此番必胜的信心和傲气,对手,曹操,0,周瑜,0
周瑜与鲁肃来到观望台极目远眺，江风突起，旌旗猎猎，二人正在得意之时，突然狂风吹动大旗旗角，打在周瑜脸上，周瑜猛然回头，由呆而惊，惊急又呆，突然大叫一声倒地，口吐鲜血昏死过去,同僚,周瑜,0,鲁肃,11
鲁肃等众将愕然,同僚,鲁肃,0,周瑜,0
建安十三年（公元208年）冬十一月，孙刘联合共御曹兵，周瑜定下火攻之计，可时值隆冬季节，没有东南风，周瑜为此忧心如焚，口吐鲜血倒地,对手,周瑜,58,曹操,39
鲁肃夜访孔明，诸葛亮说公瑾的病，他能医治,同僚,鲁肃,0,诸葛亮,16
孔明来到周瑜大帐，只写了个十六字的秘方，周瑜便一跃而起,对手,诸葛亮,0,周瑜,16
孔明让周瑜建一“七星坛”，他可借三天三夜东南大风与周郎,对手,诸葛亮,0,周瑜,16
周瑜激动万分,对手,诸葛亮,0,周瑜,0
对孔明借风一事，鲁肃此番已深信不疑，一切按孔明吩咐办，诸葛亮看着忠厚的鲁肃，面呈别离难舍之情,同僚,鲁肃,24,诸葛亮,40
